"Payment updating error.", "Payment updating error."
"Some transaction problems caused this order to change it's status to cancelled.", "Some transaction problems caused this order to change it's status to cancelled."
"Payment success.", "Payment success."
"Client redirected to OnlinePayment Gateway", "Client redirected to OnlinePayment Gateway"
"Error occured while redirecting to Gateway.", "Error occured while redirecting to Gateway."
"Client came back to website after paying.", "Client came back to website after paying."
"Looking for PayItEasy - OnlinePayment General Configuration? We have our own tab to the left.", "Looking for PayItEasy - OnlinePayment General Configuration? We have our own tab to the left."
"Go to PayItEasy - OnlinePayment Configuration Panel.", "Go to PayItEasy - OnlinePayment Configuration Panel."
"Learn more about this Payment Method", "Learn more about this Payment Method"
"OnlinePayment Configuration", "OnlinePayment Configuration"
"OnlinePayment General Configuration", "OnlinePayment General Configuration"
"Merchant Id", "Merchant Id"
"Account username", "Account username"
"Account password", "Account password"
"TEST ONLY: Prefix order", "TEST ONLY: Prefix order"
